person_id,tracking_trail_points,start_point,end_point
21,"[(341.5474548339844, 50.413787841796875), (344.41064453125, 49.83784866333008), (346.1192932128906, 48.717769622802734), (346.7104797363281, 47.45140075683594), (348.8052062988281, 45.912715911865234), (350.5657958984375, 45.23989486694336), (353.74066162109375, 43.812599182128906), (358.1362609863281, 43.0937385559082), (362.7297058105469, 42.7210578918457), (370.597412109375, 42.15936279296875), (373.83306884765625, 42.13289260864258), (376.380859375, 42.09354019165039), (378.9458923339844, 42.1618766784668), (381.030029296875, 41.639869689941406), (383.81005859375, 41.032779693603516), (385.88067626953125, 39.00944519042969), (387.67254638671875, 38.04580307006836), (388.4607849121094, 36.62003707885742), (389.35565185546875, 36.28692626953125), (393.60308837890625, 35.378353118896484), (397.2848205566406, 35.24274826049805), (400.3834228515625, 34.953460693359375), (402.93798828125, 34.468936920166016), (406.2908935546875, 34.21878433227539), (412.349365234375, 33.53544616699219), (415.5880126953125, 33.03377914428711), (417.61993408203125, 32.43391418457031), (421.27935791015625, 32.30484390258789), (423.5382080078125, 31.613861083984375), (428.3578796386719, 28.265256881713867)]","(341.5474548339844, 50.413787841796875)","(428.3578796386719, 28.265256881713867)"
22,"[(491.816650390625, 979.5447387695312), (491.21368408203125, 983.13037109375), (490.5770263671875, 985.2698364257812), (490.7474365234375, 986.1715087890625), (489.97723388671875, 988.8021240234375), (489.371826171875, 990.3953857421875), (488.791015625, 991.8244018554688), (487.8918151855469, 995.5927734375), (487.3753356933594, 998.0618896484375), (486.65509033203125, 1002.7288818359375), (486.2681884765625, 1005.6455078125), (485.06744384765625, 1008.7890625), (483.42108154296875, 1011.2115478515625), (481.3841552734375, 1014.6661376953125), (477.9652099609375, 1018.7633056640625), (475.47283935546875, 1021.8829345703125), (472.3200988769531, 1026.27392578125), (470.3873291015625, 1027.698974609375), (466.74920654296875, 1033.170654296875), (466.0564880371094, 1035.7183837890625), (466.19915771484375, 1038.1728515625), (465.0057373046875, 1041.10205078125), (464.3062744140625, 1045.1142578125), (464.451416015625, 1048.31396484375), (464.33209228515625, 1050.995849609375), (462.2196960449219, 1053.1622314453125), (460.86114501953125, 1056.298583984375), (458.68768310546875, 1059.7313232421875), (456.80975341796875, 1062.864990234375), (456.8343505859375, 1064.8389892578125)]","(491.816650390625, 979.5447387695312)","(456.8343505859375, 1064.8389892578125)"
23,"[(1057.78955078125, 977.517822265625), (1059.1483154296875, 979.9447021484375), (1059.3558349609375, 982.0736083984375), (1056.68994140625, 984.7796630859375), (1056.478759765625, 987.1785888671875), (1058.75732421875, 991.7069091796875), (1058.773681640625, 995.9462280273438), (1057.3157958984375, 998.8861083984375), (1056.0941162109375, 1001.474609375), (1055.519775390625, 1004.8375244140625), (1057.80712890625, 1009.11572265625), (1061.27978515625, 1011.0888671875), (1062.8232421875, 1013.3121337890625), (1063.4036865234375, 1016.2093505859375), (1061.7099609375, 1017.9122314453125), (1061.10009765625, 1021.12646484375), (1060.71923828125, 1024.0123291015625), (1058.11767578125, 1027.36474609375), (1057.91259765625, 1029.814697265625), (1061.16748046875, 1033.3408203125), (1061.430419921875, 1039.266845703125), (1059.8580322265625, 1043.293701171875), (1059.724609375, 1046.3280029296875), (1058.3052978515625, 1049.33837890625), (1062.61181640625, 1051.58447265625), (1064.735107421875, 1055.345947265625), (1065.42822265625, 1058.3271484375), (1066.0859375, 1060.0362548828125), (1065.8026123046875, 1063.141357421875), (1065.71337890625, 1066.242919921875)]","(1057.78955078125, 977.517822265625)","(1065.71337890625, 1066.242919921875)"
24,"[(1300.2369384765625, 952.8690185546875), (1299.635498046875, 961.075927734375), (1299.276611328125, 969.2877197265625), (1298.555419921875, 973.8289794921875), (1298.609375, 976.2755737304688), (1298.611083984375, 978.1318359375), (1298.9842529296875, 980.0699462890625), (1300.029052734375, 986.4210815429688), (1300.260009765625, 995.0816650390625), (1300.709228515625, 999.28466796875), (1301.596923828125, 1003.112548828125), (1302.467041015625, 1006.19140625), (1305.1337890625, 1010.401123046875), (1305.882080078125, 1014.4765625), (1306.829833984375, 1017.206787109375), (1307.74072265625, 1019.1397094726562), (1308.6728515625, 1021.45947265625), (1310.904052734375, 1025.288330078125), (1312.3123779296875, 1028.7398681640625), (1312.9381103515625, 1031.7833251953125), (1314.004150390625, 1035.044189453125), (1313.8365478515625, 1037.950927734375), (1316.013671875, 1043.261962890625), (1317.3223876953125, 1048.7252197265625), (1319.320556640625, 1051.7333984375), (1321.2469482421875, 1053.759765625), (1323.0850830078125, 1056.686279296875), (1325.958740234375, 1060.0849609375), (1330.255859375, 1064.015380859375), (1333.176025390625, 1066.456787109375)]","(1300.2369384765625, 952.8690185546875)","(1333.176025390625, 1066.456787109375)"
25,"[(1893.9376220703125, 325.7225646972656), (1894.533203125, 326.26422119140625), (1895.204833984375, 326.48785400390625), (1895.050048828125, 328.520751953125), (1896.341064453125, 330.0530700683594), (1896.780029296875, 331.38482666015625), (1898.095703125, 333.53192138671875), (1898.65771484375, 335.95123291015625), (1899.353759765625, 339.64801025390625), (1899.1260986328125, 340.9320373535156), (1899.334228515625, 340.8349609375), (1899.492919921875, 338.68756103515625), (1899.6962890625, 343.48956298828125), (1900.88037109375, 350.20477294921875), (1902.0849609375, 352.91943359375), (1902.7025146484375, 355.96368408203125), (1903.2666015625, 356.3486022949219), (1904.20654296875, 357.62200927734375), (1906.252197265625, 360.7019348144531), (1906.85302734375, 363.3724365234375), (1906.843994140625, 364.3699951171875), (1907.0972900390625, 367.81719970703125), (1907.004638671875, 369.9618835449219), (1906.9945068359375, 375.22137451171875), (1907.344482421875, 381.8648681640625), (1907.271728515625, 386.7995910644531), (1907.323486328125, 390.98345947265625), (1907.4716796875, 392.75787353515625), (1908.200439453125, 394.3411865234375), (1908.741455078125, 396.49261474609375)]","(1893.9376220703125, 325.7225646972656)","(1908.741455078125, 396.49261474609375)"
26,"[(1655.6630859375, 81.22386169433594), (1656.6279296875, 81.62818145751953), (1656.7757568359375, 82.55061340332031), (1657.206298828125, 83.50151824951172), (1659.0625, 85.62104034423828), (1659.49560546875, 86.9913330078125), (1660.57080078125, 87.40660095214844), (1661.8505859375, 88.83377075195312), (1663.4666748046875, 90.4305191040039), (1666.7745361328125, 91.82643127441406), (1668.694580078125, 92.33099365234375), (1668.8731689453125, 92.68021392822266), (1671.3751220703125, 92.80696105957031), (1672.298583984375, 92.8207778930664), (1673.748046875, 92.47886657714844), (1675.77978515625, 91.82752227783203), (1676.6605224609375, 91.99414825439453), (1678.4345703125, 92.72908782958984), (1680.694091796875, 93.7810287475586), (1682.573974609375, 95.55860137939453), (1682.492431640625, 95.89619445800781), (1680.1376953125, 96.80078887939453), (1682.1407470703125, 97.02651977539062), (1683.22607421875, 97.45747375488281), (1685.2529296875, 99.09807586669922), (1687.3927001953125, 99.5169448852539), (1688.25341796875, 100.4087142944336), (1689.207275390625, 100.69698333740234), (1691.857177734375, 100.56450653076172), (1695.327880859375, 94.58065795898438)]","(1655.6630859375, 81.22386169433594)","(1695.327880859375, 94.58065795898438)"
27,"[(1855.844482421875, 654.954345703125), (1858.061767578125, 660.0450439453125), (1860.10302734375, 658.173095703125), (1861.8856201171875, 657.04052734375), (1864.9951171875, 658.5382080078125), (1866.986083984375, 661.124755859375), (1868.1982421875, 677.8646240234375), (1869.58056640625, 684.4267578125), (1870.63427734375, 687.6728515625), (1872.59716796875, 689.6204833984375), (1874.6807861328125, 691.1771240234375), (1876.11083984375, 691.9615478515625), (1878.299560546875, 693.68310546875), (1879.9761962890625, 699.5653076171875), (1881.03076171875, 705.1905517578125), (1881.76904296875, 713.9979248046875), (1883.23291015625, 722.4129028320312), (1884.435791015625, 742.4417724609375), (1885.30517578125, 746.013916015625), (1886.402099609375, 748.0038452148438), (1888.076171875, 748.9734497070312), (1889.6397705078125, 750.7161865234375), (1891.88623046875, 752.4200439453125), (1893.32763671875, 755.0596923828125), (1893.4853515625, 763.8515625), (1895.1737060546875, 774.1240234375), (1895.2593994140625, 776.780029296875), (1895.8916015625, 784.688720703125), (1896.61328125, 790.90869140625), (1897.421630859375, 794.8011474609375)]","(1855.844482421875, 654.954345703125)","(1897.421630859375, 794.8011474609375)"
28,"[(1887.3765869140625, 830.3062133789062), (1887.50244140625, 812.2221069335938), (1886.802490234375, 805.8466186523438), (1886.195556640625, 804.2076416015625), (1885.6876220703125, 803.0604248046875)]","(1887.3765869140625, 830.3062133789062)","(1885.6876220703125, 803.0604248046875)"
29,"[(1403.65771484375, 87.0960464477539), (1402.980224609375, 86.52848815917969), (1402.870849609375, 86.31632995605469), (1402.548095703125, 86.31339263916016), (1402.8780517578125, 87.11429595947266), (1401.698486328125, 87.73855590820312), (1401.23828125, 88.30037689208984), (1401.7572021484375, 87.709228515625), (1405.041748046875, 88.37054443359375), (1404.7890625, 90.02012634277344), (1404.078125, 89.74237060546875), (1405.418212890625, 90.04088592529297), (1405.45556640625, 86.12622833251953), (1404.728515625, 83.61748504638672), (1404.50146484375, 80.5042495727539), (1404.197021484375, 81.1261978149414), (1404.4874267578125, 82.71521759033203), (1404.483154296875, 86.30447387695312), (1405.0146484375, 84.1549072265625), (1405.861572265625, 82.58824157714844), (1406.0721435546875, 81.92780303955078), (1406.2384033203125, 81.69144439697266), (1406.43359375, 82.5861587524414), (1406.679443359375, 83.77552795410156), (1406.88037109375, 83.6807861328125), (1407.42333984375, 83.8250503540039), (1408.4254150390625, 84.30611419677734), (1408.8641357421875, 84.81632995605469), (1408.9951171875, 85.27174377441406), (1408.757568359375, 85.68767547607422)]","(1403.65771484375, 87.0960464477539)","(1408.757568359375, 85.68767547607422)"
30,"[(1719.088134765625, 220.84323120117188), (1723.50146484375, 226.384765625), (1723.3406982421875, 230.0436553955078), (1726.02490234375, 230.4071044921875), (1726.5855712890625, 231.271728515625), (1727.90380859375, 235.1597137451172), (1729.3984375, 237.33767700195312), (1731.504638671875, 242.79478454589844), (1730.8946533203125, 243.54705810546875)]","(1719.088134765625, 220.84323120117188)","(1730.8946533203125, 243.54705810546875)"
31,"[(482.6954345703125, 563.9282836914062), (481.9466552734375, 561.2764892578125), (483.548828125, 565.5923461914062), (482.54510498046875, 561.9031982421875), (482.4344177246094, 560.0100708007812), (479.6475830078125, 556.422119140625), (479.1912841796875, 556.8671264648438), (473.1068115234375, 559.6757202148438), (470.57061767578125, 560.4502563476562), (473.0968017578125, 558.3524169921875), (473.26666259765625, 559.21435546875), (473.30279541015625, 560.0277099609375), (470.448486328125, 560.1036376953125), (466.8924865722656, 559.5213012695312), (464.5078125, 559.0761108398438), (463.27642822265625, 559.3182373046875), (466.265869140625, 557.6568603515625), (463.3460388183594, 551.4940185546875), (461.53033447265625, 549.5728149414062), (461.2696228027344, 554.9169311523438), (453.63189697265625, 552.5042724609375), (451.2987060546875, 551.114501953125), (448.13580322265625, 550.6703491210938), (442.6970520019531, 548.6959838867188), (440.50445556640625, 547.9554443359375), (437.7706604003906, 545.4806518554688), (433.8626403808594, 554.028564453125), (432.48486328125, 557.61083984375), (429.3144226074219, 582.5385131835938), (428.92327880859375, 592.181884765625)]","(482.6954345703125, 563.9282836914062)","(428.92327880859375, 592.181884765625)"
32,"[(415.69384765625, 561.26171875), (417.52301025390625, 560.7747192382812), (418.79937744140625, 559.6670532226562), (419.30084228515625, 560.2859497070312), (418.441650390625, 559.12060546875), (418.2104187011719, 558.9197998046875), (418.287109375, 558.8411865234375), (418.7237854003906, 560.3148803710938), (418.6334228515625, 561.4663696289062), (419.4739990234375, 561.3508911132812), (419.9947204589844, 561.4385375976562), (419.46026611328125, 561.69580078125), (420.4679870605469, 558.6039428710938), (421.0342712402344, 561.7769165039062), (422.01025390625, 560.288330078125), (421.7061767578125, 560.7501831054688), (422.396484375, 560.3861694335938), (419.92620849609375, 559.3673095703125), (421.0757141113281, 556.4818725585938), (423.66455078125, 554.7491455078125), (424.6014404296875, 553.1414794921875), (423.9854431152344, 552.3869018554688), (425.95623779296875, 552.743896484375), (427.1155090332031, 552.7969360351562), (427.9497375488281, 552.4391479492188), (427.84783935546875, 552.62548828125), (428.079345703125, 552.572509765625), (427.90252685546875, 552.3203125), (426.35943603515625, 553.015625), (426.152099609375, 553.5225830078125)]","(415.69384765625, 561.26171875)","(426.152099609375, 553.5225830078125)"
33,"[(1466.595703125, 59.96261978149414), (1465.330078125, 58.86916732788086), (1464.240234375, 58.13590621948242), (1463.5308837890625, 56.4758186340332), (1463.3125, 55.22452163696289), (1462.814697265625, 53.8367919921875), (1461.359130859375, 52.905879974365234), (1460.352783203125, 52.67122268676758), (1459.5185546875, 52.58540725708008), (1457.536376953125, 51.99912643432617), (1456.41064453125, 52.003692626953125), (1455.0750732421875, 51.17467498779297), (1454.625732421875, 50.083229064941406), (1452.406494140625, 49.18438720703125), (1451.6025390625, 47.912574768066406), (1451.306884765625, 46.8277702331543), (1449.90478515625, 45.27906799316406), (1449.260986328125, 43.90773391723633), (1448.4554443359375, 42.84101104736328), (1446.09130859375, 41.994590759277344), (1444.837890625, 42.32139205932617), (1443.587890625, 42.84370422363281), (1442.9305419921875, 42.68560791015625), (1441.8350830078125, 42.36632537841797), (1441.3546142578125, 42.419185638427734), (1441.038818359375, 41.57633590698242), (1439.700927734375, 41.20647430419922), (1437.618896484375, 40.06021499633789), (1437.06884765625, 38.6708869934082), (1435.818359375, 37.60800552368164)]","(1466.595703125, 59.96261978149414)","(1435.818359375, 37.60800552368164)"
34,"[(1478.015625, 794.46044921875), (1476.89404296875, 794.0195922851562), (1473.47021484375, 794.39892578125), (1469.5196533203125, 794.120849609375)]","(1478.015625, 794.46044921875)","(1469.5196533203125, 794.120849609375)"
35,"[(415.500732421875, 47.20783233642578), (418.0390319824219, 46.97330856323242), (417.0589294433594, 45.21187210083008), (420.66424560546875, 43.85430908203125), (420.98614501953125, 44.26530075073242), (424.71270751953125, 42.87701416015625), (427.05023193359375, 42.098480224609375), (428.2772216796875, 41.716495513916016), (429.30255126953125, 41.27959060668945), (430.79998779296875, 39.82147216796875), (430.01708984375, 42.1611328125), (433.9752502441406, 42.36305236816406), (437.84796142578125, 39.09513854980469), (439.41558837890625, 36.89179611206055), (439.079345703125, 35.615623474121094), (439.110107421875, 34.91177749633789), (441.3072509765625, 34.73274230957031), (441.5433654785156, 34.616127014160156), (442.8795471191406, 34.61491775512695), (444.3744812011719, 34.66029357910156), (447.8088073730469, 34.51785659790039), (452.0626220703125, 34.24651336669922), (455.26788330078125, 33.85793685913086), (458.04742431640625, 33.16212463378906), (459.28240966796875, 33.15336227416992), (461.046142578125, 31.933521270751953), (462.7824401855469, 29.469863891601562), (464.00250244140625, 27.38573455810547), (465.4527587890625, 26.439594268798828), (466.7991943359375, 25.299968719482422)]","(415.500732421875, 47.20783233642578)","(466.7991943359375, 25.299968719482422)"
44,"[(744.759033203125, 46.10810470581055), (744.90771484375, 46.21462631225586), (745.0496826171875, 46.049930572509766), (745.328369140625, 45.954586029052734), (745.9142456054688, 45.392330169677734), (746.4168090820312, 43.83995819091797), (746.98974609375, 42.33070373535156), (748.2835693359375, 40.69929122924805), (748.312744140625, 39.13515090942383), (749.42626953125, 37.873680114746094), (748.6741943359375, 36.15430450439453), (748.2828369140625, 35.894039154052734), (747.56005859375, 35.74753952026367), (747.2412109375, 35.56235885620117), (747.389892578125, 35.488563537597656), (747.0951538085938, 34.54081726074219), (747.83984375, 34.12205505371094), (748.1241455078125, 33.632572174072266), (746.61767578125, 32.874080657958984), (744.0020751953125, 31.279212951660156), (745.262451171875, 29.228395462036133), (746.2470703125, 27.881547927856445), (749.2078857421875, 27.030872344970703), (752.4346313476562, 26.38080596923828), (753.048583984375, 26.60388946533203), (752.6598510742188, 26.437091827392578), (751.6932373046875, 26.270849227905273), (752.1727294921875, 26.032501220703125)]","(744.759033203125, 46.10810470581055)","(752.1727294921875, 26.032501220703125)"
52,"[(1874.748046875, 455.4444580078125), (1878.104248046875, 461.88067626953125), (1880.44482421875, 466.5610046386719), (1880.8031005859375, 470.4659729003906), (1889.6630859375, 473.4708251953125), (1887.9007568359375, 475.4495544433594), (1886.34521484375, 476.748779296875), (1884.075439453125, 478.06463623046875), (1886.820068359375, 479.19219970703125), (1889.72607421875, 483.32940673828125), (1892.283203125, 495.5146484375), (1893.486328125, 503.960693359375), (1893.996826171875, 509.53564453125), (1895.185302734375, 514.3630981445312), (1896.086669921875, 518.2996826171875), (1896.677734375, 520.86376953125), (1898.38232421875, 524.298095703125), (1899.647705078125, 526.218505859375), (1899.43896484375, 528.4900512695312), (1899.733642578125, 530.3175048828125), (1900.420654296875, 532.3912963867188), (1900.3197021484375, 535.43359375), (1900.575439453125, 537.5701904296875), (1901.2862548828125, 537.7904663085938), (1902.2186279296875, 539.3126220703125), (1903.989990234375, 545.9866943359375), (1906.46533203125, 548.0233154296875), (1906.23291015625, 559.4642944335938), (1906.92431640625, 567.646728515625), (1908.511474609375, 572.9246826171875)]","(1874.748046875, 455.4444580078125)","(1908.511474609375, 572.9246826171875)"
53,"[(1316.212646484375, 50.206668853759766), (1316.259521484375, 50.287208557128906), (1316.0380859375, 50.013031005859375), (1315.9542236328125, 50.12022399902344), (1315.833984375, 50.26411056518555), (1315.5673828125, 50.452388763427734), (1315.2659912109375, 49.99819564819336), (1315.059326171875, 49.96356201171875), (1315.082275390625, 49.773651123046875), (1314.9609375, 49.78247833251953), (1313.850830078125, 49.96603012084961), (1313.581787109375, 49.871070861816406), (1312.62890625, 49.585838317871094), (1312.944580078125, 49.43296813964844), (1312.5335693359375, 49.200225830078125), (1311.607177734375, 49.24868392944336), (1310.7689208984375, 49.135623931884766), (1309.393310546875, 49.0389404296875), (1309.0634765625, 49.279178619384766), (1310.47119140625, 49.16749954223633), (1310.916015625, 49.00638198852539), (1308.41943359375, 48.29736328125), (1306.24658203125, 47.79056930541992), (1305.6539306640625, 48.793434143066406), (1305.50927734375, 48.07668685913086), (1304.24072265625, 47.2861328125), (1304.83447265625, 47.42334747314453), (1304.3994140625, 46.905086517333984), (1304.0579833984375, 45.876869201660156), (1303.959716796875, 45.10041427612305)]","(1316.212646484375, 50.206668853759766)","(1303.959716796875, 45.10041427612305)"
59,"[(1900.963134765625, 295.6708984375), (1900.96484375, 298.973388671875), (1900.6064453125, 301.52166748046875), (1900.145751953125, 302.9599609375), (1900.869140625, 303.6756591796875), (1901.085205078125, 304.4311828613281), (1901.3734130859375, 304.2760314941406), (1901.8037109375, 304.5234375), (1903.05078125, 304.66851806640625), (1902.794921875, 307.09149169921875), (1902.72705078125, 308.90911865234375), (1903.06396484375, 311.0612487792969), (1902.99072265625, 314.765625), (1902.88623046875, 317.9776306152344), (1902.44873046875, 320.452392578125), (1902.6129150390625, 323.4483337402344), (1902.765625, 324.8783264160156), (1903.501708984375, 325.591064453125), (1904.015625, 324.92620849609375), (1905.42724609375, 328.0657958984375), (1905.9073486328125, 330.4745178222656), (1906.347900390625, 331.9417724609375), (1906.823486328125, 332.4764404296875), (1907.43896484375, 332.370361328125), (1908.9007568359375, 336.30029296875), (1909.655517578125, 340.29205322265625), (1910.36767578125, 343.67633056640625), (1910.717041015625, 347.2664794921875), (1910.945068359375, 350.61248779296875), (1911.2744140625, 354.25921630859375)]","(1900.963134765625, 295.6708984375)","(1911.2744140625, 354.25921630859375)"
63,"[(466.52716064453125, 567.1640014648438), (465.6592712402344, 566.4503784179688), (466.1745910644531, 566.5592041015625), (466.14697265625, 566.5526733398438), (466.027099609375, 565.4107666015625), (466.8100280761719, 566.2470703125), (466.51727294921875, 566.1719970703125), (466.7624816894531, 566.0723876953125), (466.101806640625, 566.46044921875), (467.48388671875, 567.5086059570312), (468.5731201171875, 569.2427978515625), (468.38885498046875, 569.5357666015625), (470.01202392578125, 569.49658203125), (460.22601318359375, 566.9888305664062), (451.80181884765625, 561.916015625), (450.68292236328125, 566.355712890625), (453.01153564453125, 567.02294921875), (453.92138671875, 568.314453125), (454.54681396484375, 569.4000244140625), (453.98858642578125, 570.4022216796875), (455.22222900390625, 572.87841796875), (455.6964416503906, 573.4957275390625), (453.95709228515625, 572.8179931640625), (451.6852111816406, 571.3490600585938), (450.83038330078125, 570.80224609375), (451.9714050292969, 568.8472290039062), (453.12744140625, 567.6278686523438), (451.94677734375, 568.1893310546875), (450.2477111816406, 568.6066284179688), (446.80047607421875, 566.2997436523438)]","(466.52716064453125, 567.1640014648438)","(446.80047607421875, 566.2997436523438)"
70,"[(1529.200927734375, 500.009033203125), (1524.75927734375, 497.8739013671875), (1527.7198486328125, 498.23779296875), (1525.073974609375, 501.08160400390625)]","(1529.200927734375, 500.009033203125)","(1525.073974609375, 501.08160400390625)"
81,"[(1063.154541015625, 164.18569946289062), (1063.2589111328125, 165.26528930664062), (1063.892822265625, 163.85992431640625), (1064.618408203125, 162.81629943847656), (1065.468505859375, 161.56137084960938), (1065.66943359375, 156.13519287109375), (1065.705078125, 152.52670288085938), (1067.61279296875, 149.44662475585938), (1068.390869140625, 146.35238647460938), (1069.0450439453125, 143.56288146972656), (1068.893798828125, 140.62718200683594), (1068.656982421875, 139.88421630859375), (1068.463623046875, 137.73333740234375), (1068.3076171875, 136.85142517089844), (1068.41357421875, 136.8382568359375), (1068.38232421875, 134.13088989257812), (1068.46337890625, 133.60516357421875), (1068.473388671875, 131.09786987304688), (1068.8907470703125, 125.846435546875), (1069.1357421875, 121.81187438964844), (1069.423095703125, 118.49380493164062), (1069.57275390625, 117.27346801757812), (1069.548095703125, 115.27333068847656), (1069.6990966796875, 114.06080627441406), (1070.0859375, 112.58100128173828), (1070.3555908203125, 112.10965728759766), (1070.931640625, 111.69684600830078), (1071.53466796875, 109.68240356445312), (1071.783447265625, 108.37696838378906), (1072.0491943359375, 107.03361511230469)]","(1063.154541015625, 164.18569946289062)","(1072.0491943359375, 107.03361511230469)"
85,"[(1879.638916015625, 653.23486328125), (1880.214111328125, 660.870361328125), (1879.814697265625, 670.3318481445312), (1879.93212890625, 676.2395629882812), (1879.679443359375, 682.3809204101562), (1880.017333984375, 687.990966796875), (1880.14013671875, 692.34521484375), (1887.0589599609375, 697.48193359375), (1886.1654052734375, 699.1588134765625), (1888.556884765625, 701.1897583007812), (1886.0552978515625, 705.2677001953125), (1885.67578125, 710.91064453125), (1888.070068359375, 715.9457397460938), (1891.8829345703125, 722.9239501953125), (1892.502685546875, 734.540771484375), (1889.4569091796875, 742.0567626953125), (1885.580322265625, 749.5655517578125), (1890.013916015625, 759.765380859375), (1893.746337890625, 765.9652099609375), (1896.1865234375, 772.91650390625), (1896.9365234375, 776.45458984375), (1897.3896484375, 779.911376953125), (1898.638427734375, 784.499267578125), (1899.94189453125, 786.9871826171875), (1902.7255859375, 788.221923828125), (1904.73681640625, 789.6925659179688), (1906.3944091796875, 792.7462158203125), (1907.25244140625, 798.8695068359375), (1907.497802734375, 804.3792114257812), (1907.503173828125, 809.2200927734375)]","(1879.638916015625, 653.23486328125)","(1907.503173828125, 809.2200927734375)"
87,"[(22.201141357421875, 126.36304473876953), (26.276302337646484, 126.91346740722656), (30.882823944091797, 128.04129028320312), (38.8768196105957, 127.64546966552734), (43.474449157714844, 127.48092651367188), (45.95390701293945, 127.04655456542969), (48.14658737182617, 126.926025390625), (50.587833404541016, 126.25001525878906), (54.164283752441406, 125.09678649902344), (56.12978744506836, 123.68507385253906), (57.08282470703125, 122.49690246582031), (57.764671325683594, 120.2146987915039), (59.36094665527344, 119.64461517333984), (65.63359832763672, 118.84230041503906), (71.25924682617188, 118.38681030273438), (72.77332305908203, 118.70582580566406), (75.69001770019531, 118.18515014648438), (76.65805053710938, 118.4783706665039), (81.31324768066406, 117.0765380859375), (82.82991027832031, 116.23453521728516), (89.72259521484375, 116.68424987792969)]","(22.201141357421875, 126.36304473876953)","(89.72259521484375, 116.68424987792969)"
89,"[(959.1156005859375, 644.3680419921875), (959.5230712890625, 648.0289306640625), (960.678466796875, 652.5475463867188), (961.97509765625, 656.0594482421875), (962.4612426757812, 657.9312744140625), (963.085693359375, 659.3404541015625), (963.815673828125, 660.41796875), (964.8671875, 661.70849609375), (965.6483154296875, 663.48583984375), (965.8961181640625, 668.9464111328125), (967.0684814453125, 675.6131591796875), (966.8017578125, 683.4309692382812), (966.79345703125, 690.7034301757812), (966.7215576171875, 695.6912841796875), (966.8665771484375, 700.134765625), (966.28857421875, 702.21923828125), (965.6837768554688, 703.267822265625), (966.7394409179688, 704.7240600585938), (967.0125732421875, 707.4549560546875), (967.5477294921875, 708.388427734375), (966.723876953125, 709.3720092773438), (967.1319580078125, 710.8257446289062), (966.900390625, 719.3836669921875), (966.0438842773438, 728.8526611328125), (966.9476318359375, 736.6898193359375), (966.93603515625, 742.416259765625), (967.080078125, 747.056640625), (968.7889404296875, 752.0445556640625), (970.873779296875, 756.11962890625), (969.65478515625, 758.7791748046875)]","(959.1156005859375, 644.3680419921875)","(969.65478515625, 758.7791748046875)"
101,"[(1287.7969970703125, 127.59326934814453), (1288.35302734375, 123.78732299804688), (1289.406494140625, 117.99647521972656), (1290.8671875, 114.85283660888672), (1291.365234375, 112.74065399169922), (1291.5587158203125, 111.8009262084961), (1291.9166259765625, 110.24298095703125), (1292.091064453125, 109.14192199707031), (1293.318359375, 109.1067123413086), (1294.523681640625, 109.50764465332031), (1295.5164794921875, 107.7325439453125), (1296.6702880859375, 104.1932144165039), (1298.9117431640625, 97.96794128417969), (1299.89599609375, 93.61923217773438), (1300.32080078125, 91.0117416381836), (1300.699462890625, 89.38513946533203), (1300.84375, 87.5958251953125), (1300.91015625, 85.8490219116211), (1300.988037109375, 84.96695709228516), (1301.189697265625, 84.59452819824219), (1301.297607421875, 84.26576232910156), (1301.395263671875, 82.80145263671875), (1301.6817626953125, 80.07930755615234), (1301.7822265625, 78.28302001953125), (1302.0159912109375, 74.34981536865234), (1302.14208984375, 70.27794647216797), (1302.122314453125, 67.63786315917969), (1303.01318359375, 65.21205139160156), (1303.22802734375, 63.45700454711914), (1302.932861328125, 62.608299255371094)]","(1287.7969970703125, 127.59326934814453)","(1302.932861328125, 62.608299255371094)"
102,"[(241.3256378173828, 968.3342895507812), (246.0270233154297, 975.29833984375), (250.8970489501953, 979.8743896484375), (253.57630920410156, 983.4287109375), (255.8797149658203, 988.1690063476562), (256.4302673339844, 991.8448486328125), (257.10479736328125, 995.2294921875), (257.8515319824219, 998.1259765625), (260.2186584472656, 1000.3321533203125), (261.2960205078125, 1003.0809326171875), (262.6221008300781, 1005.099365234375), (265.1788330078125, 1007.0888061523438), (267.96258544921875, 1009.0287475585938), (269.7373046875, 1010.9273681640625), (270.02667236328125, 1015.1939697265625), (271.4515686035156, 1018.5701904296875), (272.7798767089844, 1021.57568359375), (272.91644287109375, 1025.1585693359375), (274.1883850097656, 1028.730712890625), (276.09954833984375, 1034.0537109375), (274.53692626953125, 1037.7557373046875), (274.803466796875, 1040.6864013671875), (277.199951171875, 1043.0714111328125), (278.47198486328125, 1045.102783203125), (279.6885070800781, 1049.37109375), (279.90972900390625, 1051.2593994140625), (274.1269836425781, 1052.9647216796875), (275.1466979980469, 1055.3248291015625), (270.940673828125, 1058.026611328125), (273.3227233886719, 1063.37744140625)]","(241.3256378173828, 968.3342895507812)","(273.3227233886719, 1063.37744140625)"
