person_id,tracking_trail_points,start_point,end_point
11,"[(1176.375244140625, 120.63131713867188), (1176.048095703125, 119.44796752929688), (1175.747802734375, 118.30115509033203), (1175.7840576171875, 117.44108581542969), (1175.0924072265625, 118.1397705078125), (1174.4375, 117.06290435791016), (1173.944091796875, 115.52677154541016), (1173.5880126953125, 113.63091278076172), (1173.911376953125, 111.89889526367188), (1173.957763671875, 109.39973449707031), (1174.0225830078125, 103.4708251953125), (1173.727783203125, 99.82806396484375), (1173.9453125, 97.26215362548828), (1173.28173828125, 95.85769653320312), (1173.73095703125, 94.50112915039062), (1173.767333984375, 93.86930847167969), (1173.6800537109375, 93.10472869873047), (1167.6121826171875, 76.38697814941406), (1166.4814453125, 74.79769897460938), (1165.832763671875, 74.39315032958984), (1165.11962890625, 74.15885925292969), (1164.897216796875, 73.79493713378906), (1164.50439453125, 74.10282897949219), (1164.049560546875, 73.85482025146484), (1163.5869140625, 74.93492126464844), (1163.2769775390625, 74.76937866210938), (1162.121826171875, 72.36477661132812), (1161.7216796875, 69.36848449707031), (1160.6915283203125, 66.10136413574219), (1160.2586669921875, 63.30769348144531)]","(1176.375244140625, 120.63131713867188)","(1160.2586669921875, 63.30769348144531)"
12,"[(725.7896728515625, 55.77751922607422), (725.8489379882812, 55.44852828979492), (725.5918579101562, 54.859519958496094), (724.9995727539062, 53.89236831665039), (724.953369140625, 52.511817932128906), (725.3306884765625, 50.98350524902344), (724.5252685546875, 49.93186950683594), (724.3756103515625, 48.33328628540039), (723.6715087890625, 47.47489547729492), (723.0869750976562, 47.52579879760742), (722.970947265625, 47.492855072021484), (723.1067504882812, 47.24077606201172), (723.3123779296875, 47.35588455200195), (723.015380859375, 46.734710693359375), (722.623046875, 46.421566009521484), (722.4400634765625, 45.61412048339844), (722.1325073242188, 42.65297317504883), (722.2762451171875, 40.17189407348633), (722.2259521484375, 38.70895004272461), (722.78564453125, 37.65293884277344), (723.499755859375, 36.50667953491211), (725.026123046875, 35.892452239990234), (726.9131469726562, 35.170772552490234), (727.0537719726562, 35.17304611206055), (727.22509765625, 36.6221809387207), (727.6382446289062, 35.40491485595703), (728.4319458007812, 36.35639190673828), (728.9293212890625, 35.90920639038086), (729.3735961914062, 34.65074157714844), (729.8934326171875, 33.42936325073242)]","(725.7896728515625, 55.77751922607422)","(729.8934326171875, 33.42936325073242)"
13,"[(566.6683349609375, 984.8551635742188), (563.9395141601562, 988.8438720703125), (562.3749389648438, 992.2039794921875), (560.769287109375, 995.4752197265625), (559.3922729492188, 998.669921875), (558.168212890625, 1001.265869140625), (556.3477783203125, 1004.90283203125), (555.1068725585938, 1006.4129638671875), (555.0333251953125, 1008.6273193359375), (554.71630859375, 1010.79541015625), (554.9423828125, 1012.3853759765625), (554.7606811523438, 1015.5327758789062), (554.8727416992188, 1018.7898559570312), (555.2952880859375, 1021.4786987304688), (555.2914428710938, 1024.2060546875), (555.4025268554688, 1026.8638916015625), (556.0367431640625, 1032.083251953125), (557.0686645507812, 1033.936767578125), (557.8129272460938, 1035.2474365234375), (558.060546875, 1038.0355224609375), (558.447265625, 1039.8138427734375), (559.1361694335938, 1040.96875), (554.6351928710938, 1044.771240234375), (550.6807861328125, 1046.6087646484375), (548.8148803710938, 1049.4736328125), (548.0877685546875, 1052.272705078125), (547.9791259765625, 1054.571533203125), (545.836669921875, 1059.07275390625), (543.8248291015625, 1062.826416015625), (543.3671875, 1065.432373046875)]","(566.6683349609375, 984.8551635742188)","(543.3671875, 1065.432373046875)"
14,"[(1746.34716796875, 904.4368896484375), (1746.078857421875, 914.2994384765625), (1746.6072998046875, 920.460205078125), (1749.563720703125, 926.5036010742188), (1753.465576171875, 936.5859375), (1758.491455078125, 944.2259521484375), (1764.135986328125, 948.833984375), (1767.52490234375, 953.4171752929688), (1770.6905517578125, 958.2039184570312), (1776.163330078125, 961.7666015625), (1786.10595703125, 965.9625244140625), (1791.0582275390625, 970.5681762695312), (1793.47607421875, 979.3768920898438), (1796.0506591796875, 985.2998046875), (1800.271484375, 992.0472412109375), (1803.17822265625, 995.7813720703125), (1807.123779296875, 999.427001953125), (1811.078369140625, 1002.34912109375), (1816.575927734375, 1004.833984375), (1829.1619873046875, 1009.7189331054688), (1837.284912109375, 1013.21484375), (1843.0595703125, 1016.585693359375), (1847.408203125, 1019.5606689453125), (1851.66259765625, 1022.2860107421875), (1857.7763671875, 1028.421142578125), (1861.6141357421875, 1034.809326171875), (1859.7615966796875, 1043.5194091796875), (1865.3741455078125, 1043.02197265625), (1869.216552734375, 1046.8109130859375), (1873.8345947265625, 1053.014404296875)]","(1746.34716796875, 904.4368896484375)","(1873.8345947265625, 1053.014404296875)"
15,"[(1896.2591552734375, 341.11279296875), (1897.4737548828125, 345.93798828125), (1897.995849609375, 349.89111328125), (1899.014404296875, 353.677734375), (1898.9302978515625, 357.42193603515625), (1899.6806640625, 360.0823669433594), (1899.783935546875, 363.94317626953125), (1899.086669921875, 363.898681640625), (1899.4622802734375, 365.41290283203125), (1900.775390625, 368.2886047363281), (1901.57177734375, 369.78741455078125), (1901.55078125, 373.0817565917969), (1902.179443359375, 373.78656005859375), (1902.262939453125, 376.8948974609375), (1902.5992431640625, 382.00726318359375), (1902.58056640625, 384.0586242675781), (1902.331298828125, 383.11474609375), (1902.533203125, 384.478759765625), (1902.321044921875, 386.0394287109375), (1902.77978515625, 390.37017822265625), (1903.802490234375, 392.36614990234375), (1903.066162109375, 392.7397766113281), (1904.3642578125, 393.85888671875), (1906.06884765625, 395.345703125), (1907.014404296875, 403.7663879394531), (1908.092529296875, 408.3547058105469), (1908.431884765625, 413.40545654296875), (1909.75830078125, 419.64141845703125), (1909.599609375, 425.8758544921875), (1910.850341796875, 433.275146484375)]","(1896.2591552734375, 341.11279296875)","(1910.850341796875, 433.275146484375)"
16,"[(112.09619140625, 182.50665283203125), (112.2997817993164, 182.90237426757812), (112.27114868164062, 182.76564025878906), (112.30244445800781, 182.8986358642578), (112.23442077636719, 182.53076171875), (112.40106201171875, 182.35751342773438), (112.55726623535156, 182.2584228515625), (112.344970703125, 182.10452270507812), (112.48462677001953, 181.6947784423828), (111.95545196533203, 181.37013244628906), (111.55459594726562, 181.03509521484375), (112.04487609863281, 180.91175842285156), (112.26019287109375, 180.8150177001953), (112.63575744628906, 180.6253662109375), (112.910400390625, 180.56321716308594), (112.61392211914062, 180.4424591064453), (113.28472137451172, 179.7794952392578), (113.19891357421875, 179.4679412841797), (111.56053161621094, 178.20179748535156), (110.74343872070312, 175.7039337158203), (111.82546997070312, 175.4911651611328), (113.52741241455078, 177.97354125976562), (113.84071350097656, 176.25039672851562), (108.07833862304688, 172.20343017578125), (106.52264404296875, 165.42677307128906), (106.93614196777344, 170.24374389648438), (109.48280334472656, 154.9734649658203), (111.75648498535156, 148.7772216796875), (113.81265258789062, 149.46502685546875), (114.05810546875, 146.7169952392578)]","(112.09619140625, 182.50665283203125)","(114.05810546875, 146.7169952392578)"
17,"[(365.7503356933594, 533.8385620117188), (366.1733093261719, 533.8031005859375), (366.7838134765625, 534.0150756835938), (366.7129821777344, 533.74560546875), (366.88616943359375, 533.655517578125), (366.8868103027344, 533.5951538085938), (366.94482421875, 533.5323486328125), (367.32513427734375, 533.4125366210938), (367.1265869140625, 533.241455078125), (366.9363708496094, 532.9376220703125), (367.05120849609375, 532.278076171875), (366.58941650390625, 532.0849609375), (367.0142822265625, 530.416259765625), (367.7615966796875, 529.5313110351562), (368.32781982421875, 529.27294921875), (368.48773193359375, 529.0459594726562), (368.1885070800781, 528.7675170898438), (367.862060546875, 528.5963745117188), (367.91943359375, 527.462646484375), (367.91033935546875, 527.20458984375), (367.1939697265625, 527.4422607421875), (367.1975402832031, 527.5316162109375), (367.224365234375, 526.935546875), (366.54351806640625, 526.4027099609375), (366.791259765625, 525.70263671875), (366.6869201660156, 525.8383178710938), (365.9132080078125, 525.8790893554688), (366.62469482421875, 525.8529052734375), (367.2698974609375, 525.9686889648438), (367.5859375, 526.18701171875)]","(365.7503356933594, 533.8385620117188)","(367.5859375, 526.18701171875)"
18,"[(879.8175048828125, 33.80736541748047), (880.43115234375, 33.2111701965332), (881.1329956054688, 32.912322998046875), (881.5885009765625, 32.845977783203125), (881.7525634765625, 32.67576599121094), (881.5542602539062, 32.46924591064453), (880.8359985351562, 32.486778259277344), (880.4608154296875, 32.462833404541016), (880.0045166015625, 32.34244918823242), (879.9796142578125, 32.21854782104492), (880.4154663085938, 31.906946182250977), (880.2847900390625, 31.024311065673828), (879.589599609375, 30.189346313476562), (879.3279418945312, 28.909399032592773), (878.6324462890625, 27.85978889465332), (878.166015625, 27.070682525634766), (878.739501953125, 25.753950119018555), (880.0487670898438, 25.491836547851562), (880.9327392578125, 25.019672393798828), (881.2611694335938, 24.481163024902344), (881.53271484375, 24.043184280395508), (882.591064453125, 23.31117057800293), (882.54638671875, 22.968826293945312), (882.4235229492188, 22.723241806030273), (882.633544921875, 22.359235763549805), (882.7813720703125, 22.18865203857422), (882.843017578125, 21.771665573120117), (882.6458740234375, 21.60696792602539), (882.7401123046875, 21.27839469909668), (882.2535400390625, 20.64236068725586)]","(879.8175048828125, 33.80736541748047)","(882.2535400390625, 20.64236068725586)"
19,"[(990.7694091796875, 45.070411682128906), (991.9697875976562, 45.1850471496582), (993.4883422851562, 44.617340087890625), (994.5633544921875, 43.62428665161133), (995.6607666015625, 42.692230224609375), (996.4267578125, 41.691375732421875), (997.0982666015625, 41.02644348144531), (997.575439453125, 40.74050521850586), (999.1865234375, 41.09325408935547), (1000.068115234375, 41.3383674621582), (1000.513916015625, 40.8210334777832), (1000.8240966796875, 40.53119659423828), (1002.2623291015625, 40.26230239868164), (1003.1564331054688, 39.67927169799805), (1003.5416259765625, 39.57630157470703), (1005.140625, 38.21474075317383), (1006.054931640625, 37.43440246582031), (1006.464111328125, 35.67249298095703), (1006.8751220703125, 34.81013107299805), (1007.901123046875, 33.90549850463867), (1008.916015625, 32.598567962646484), (1010.0394287109375, 32.050819396972656), (1011.0638427734375, 33.78467559814453), (1011.5181274414062, 34.280696868896484), (1012.1710205078125, 34.22315979003906), (1012.9351806640625, 33.53288650512695), (1014.076171875, 32.3536376953125), (1015.6689453125, 32.42051696777344), (1016.620361328125, 31.52648162841797), (1017.2958984375, 30.856563568115234)]","(990.7694091796875, 45.070411682128906)","(1017.2958984375, 30.856563568115234)"
20,"[(833.1282958984375, 35.896324157714844), (833.0045166015625, 35.279117584228516), (832.350341796875, 34.48607635498047), (831.9819946289062, 34.01436233520508), (832.2266845703125, 33.80577850341797), (832.8504028320312, 33.9810905456543), (833.0799560546875, 34.09648895263672), (833.327392578125, 34.09025192260742), (832.57373046875, 33.90016174316406), (832.1422119140625, 33.66673278808594), (832.6558837890625, 32.82220458984375), (832.357666015625, 31.762210845947266), (832.019775390625, 30.303752899169922), (831.7073974609375, 29.066612243652344), (831.226806640625, 27.77667236328125), (831.4273681640625, 26.238378524780273), (831.5306396484375, 25.86035919189453), (832.223388671875, 25.239709854125977), (832.374267578125, 25.232629776000977), (832.3076782226562, 25.152423858642578), (832.888671875, 24.969524383544922), (833.3189697265625, 25.19610595703125), (833.5529174804688, 25.009593963623047), (833.8840942382812, 24.71846580505371), (834.0993041992188, 24.29483413696289), (834.7822875976562, 22.722455978393555), (835.152099609375, 21.25682830810547), (835.25048828125, 20.169336318969727), (835.1112060546875, 18.9134521484375), (835.048583984375, 17.783777236938477)]","(833.1282958984375, 35.896324157714844)","(835.048583984375, 17.783777236938477)"
